Area,Area Latitude,Area Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Al Markh,25.1595435,51.6038783,Al Wessal Restaurant & Juice,25.15875822846653,51.59925421088536,Café
Al Markh,25.1595435,51.6038783,كافتيريا الصفوة,25.16503,51.60416,Cafeteria
Al Markh,25.1595435,51.6038783,Harbor resturant,25.156964,51.599414,Seafood Restaurant
Al Markh,25.1595435,51.6038783,anjappar,25.154986076618833,51.59926449043653,South Indian Restaurant
Al Markh,25.1595435,51.6038783,غريسة,25.15909420682682,51.59945466242004,Dessert Shop
Al Markh,25.1595435,51.6038783,Beshawar Bakery,25.156647522092502,51.599500920552366,Bakery
Al Markh,25.1595435,51.6038783,ملك الطاووق,25.160540942972723,51.598508947661934,Restaurant
Al Markh,25.1595435,51.6038783,حلويات ومعجنات الحارة الشامية,25.160539,51.599034,Dessert Shop
Al Markh,25.1595435,51.6038783,Al Guzie Restaurant - Wakra,25.163272404442164,51.60632691784272,Afghan Restaurant
Al Markh,25.1595435,51.6038783,Absi Chai شاي عبسي,25.162866,51.608178,Café
Al Markh,25.1595435,51.6038783,الظبياني,25.154305,51.599335,Café
Al Markh,25.1595435,51.6038783,Yum Yum Tree (يم يم تري),25.160631,51.598547,Italian Restaurant
Al Markh,25.1595435,51.6038783,Sammossa Shop,25.15666357265925,51.59952147973263,Fast Food Restaurant
Al Markh,25.1595435,51.6038783,Al Junoob,25.156149,51.59986,Juice Bar
Al Markh,25.1595435,51.6038783,gharissa arabian ice cream,25.157106,51.599497,Ice Cream Shop
Al Markh,25.1595435,51.6038783,Tea Madeena - Wakra,25.160267,51.59903,Café
Al Markh,25.1595435,51.6038783,Boishakki Restaurant,25.154796,51.599832,Bangladeshi Restaurant
Al Markh,25.1595435,51.6038783,Antakya (انطاكيا),25.155632,51.599351,Turkish Restaurant
Al Markh,25.1595435,51.6038783,Adaminte Chayakada,25.158314,51.59897,Indian Restaurant
Al Markh,25.1595435,51.6038783,Ashe al bulbul,25.161110903886527,51.59969109321245,Falafel Restaurant
Al Markh,25.1595435,51.6038783,iL Gusto,25.156721008664707,51.60590027247645,Italian Restaurant
Al Markh,25.1595435,51.6038783,معصرة شمس الخليج,25.161054254574157,51.59920281315335,Cafeteria
Al Musalla,15.307689,44.190316,Villa Cafe - FeeCoffee,15.309363,44.188307,Coffee Shop
Al Musalla,15.307689,44.190316,News Café,15.307685,44.188502,Café
Al Musalla,15.307689,44.190316,jouzef Restaurant,15.308511320704257,44.19118498839734,Restaurant
Al Musalla,15.307689,44.190316,Lebanese Restaurant,15.304668343058237,44.19129154403414,Middle Eastern Restaurant
Al Musalla,15.307689,44.190316,Pizzaiola,15.304802,44.186142,Pizza Place
Al Musalla,15.307689,44.190316,BisBas Resto,15.304706573486328,44.18605041503906,Fast Food Restaurant
Al Musalla,15.307689,44.190316,Hot & Crispy,15.304794,44.186306,Fast Food Restaurant
Al Musalla,15.307689,44.190316,panaroma cafe,15.309900238701498,44.189795110497464,Bistro
Al Musalla,15.307689,44.190316,Japanese Restaurant,15.30471003148445,44.185852270155465,Japanese Restaurant
Al Musalla,15.307689,44.190316,مجلس الملوك,15.304803,44.187765,Café
Al Musalla,15.307689,44.190316,My Coffee,15.306501427341276,44.19538680665189,Coffee Shop
Al Musalla,15.307689,44.190316,Grill 101,15.304648576672149,44.18604687155347,Steakhouse
Al Musalla,15.307689,44.190316,Piatto Pizza,15.303587,44.191179,Food Court
Al Musalla,15.307689,44.190316,Caramel,15.304729,44.185992,Dessert Shop
Al Musalla,15.307689,44.190316,Zorbas Restaurant,15.304882,44.186228,Greek Restaurant
Al Musalla,15.307689,44.190316,Khan Al-Khaleely Rest. And Coffee,15.306360755072207,44.18836812712006,Middle Eastern Restaurant
Al Musalla,15.307689,44.190316,Albahar,15.30281176064971,44.191222051254485,Seafood Restaurant
Al Qala,26.1313185,50.553551,Choco Logy,26.131261,50.553963,Café
Al Qala,26.1313185,50.553551,Milkd,26.132774,50.553869,Café
Al Qala,26.1313185,50.553551,Rosemary,26.132765,50.553813,Lebanese Restaurant
Al Qala,26.1313185,50.553551,Cheese Attack,26.132717,50.554275,Restaurant
Al Qala,26.1313185,50.553551,Çevirme,26.132427,50.555045,Doner Restaurant
Al Qala,26.1313185,50.553551,Reve,26.132655,50.555113,Café
Al Qala,26.1313185,50.553551,Spotted,26.132559,50.55514,Burger Joint
Al Qala,26.1313185,50.553551,King Karak Cafeteria,26.132530684823717,50.55397826423987,Cafeteria
Al Qala,26.1313185,50.553551,Fresh - Superfood Cafe,26.135483,50.556673,Vegetarian / Vegan Restaurant
Al Qala,26.1313185,50.553551,ARUM CAFE,26.132742,50.555063,Café
Al Qala,26.1313185,50.553551,Food Lab,26.132787441961973,50.55237606653639,Coffee Shop
Al Qala,26.1313185,50.553551,iLLASAGNA,26.132867,50.555228,Italian Restaurant
Al Qala,26.1313185,50.553551,Bellalobsterbah,26.132489,50.554857,Burger Joint
Al Qala,26.1313185,50.553551,كرك النعيمي,26.130637820248577,50.55684782559797,Café
Al Qala,26.1313185,50.553551,Razan,26.13014252239173,50.555690754247195,Sandwich Place
Al Qala,26.1313185,50.553551,Rush,26.135487453504123,50.55520089399406,Café
Al Qala,26.1313185,50.553551,Jack’s,26.134667111941898,50.549958691688055,Pizza Place
Al Qala,26.1313185,50.553551,خباز عبدالكريم,26.131336916773996,50.5587116188929,Bakery
Al Qala,26.1313185,50.553551,Bora Bora,26.1355550081502,50.555741565748434,Juice Bar
Al Qala,26.1313185,50.553551,Melted,26.135296,50.55551,Café
Al Qala,26.1313185,50.553551,Jan Burger,26.131170789296597,50.55822076758629,Burger Joint
Al Qala,26.1313185,50.553551,حلويات جمال شويطر,26.13541307691342,50.55650162827305,Dessert Shop
Al Qala,26.1313185,50.553551,Shawarma Park,26.135662,50.555849,Shawarma Place
Al Qala,26.1313185,50.553551,Koph Cafe,26.13545143392436,50.5548288721768,Coffee Shop
Al Qala,26.1313185,50.553551,Uncle Sam Cafe,26.133127838225757,50.55727384347428,Café
Al Qala,26.1313185,50.553551,Sameeh Pastries,26.134914,50.552487,Restaurant
Al Qala,26.1313185,50.553551,الزاويه الظبيانيه,26.1334792222674,50.55859530164187,Burger Joint
Al Qala,26.1313185,50.553551,Freej Bin Rashdan,26.136699,50.556707,Breakfast Spot
Al Qala,26.1313185,50.553551,Merlo Cafe (ميرلو كافيه),26.13246707012515,50.55538745071616,Café
Al Qala,26.1313185,50.553551,Chipsy Time,26.13270387447836,50.55513117005688,Food Truck
Al Qala,26.1313185,50.553551,Tariq Pastries (حلويات طارق),26.12995086431531,50.55537896285107,Dessert Shop
Al Qala,26.1313185,50.553551,RÊVE,26.133445,50.557307,Café
Al Qala,26.1313185,50.553551,Eskebdarani,26.133265,50.557829,Fast Food Restaurant
Al Qala,26.1313185,50.553551,Beefies.Burger,26.135184,50.554925,American Restaurant
Al Qala,26.1313185,50.553551,The Ice Cream Shop,26.13652,50.556595,Ice Cream Shop
Al Qala,26.1313185,50.553551,Vou Cafe,26.135529,50.555906,Café
Al Qala,26.1313185,50.553551,بيت الكبدة,26.13305,50.557517,Restaurant
Al Qala,26.1313185,50.553551,3lines Fast Food - Riffa Branch,26.13063511754586,50.5566432271511,Burger Joint
Al Qala,26.1313185,50.553551,Burger Factory,26.13275012304612,50.55883750129973,Burger Joint
Al Qala,26.1313185,50.553551,Voya Lounge,26.136738,50.556678,Lounge
Al Qala,26.1313185,50.553551,Cafe Mills,26.135352,50.555798,Café
Al Qala,26.1313185,50.553551,Broken Egg,26.133655,50.558852,Breakfast Spot
Al Qala,26.1313185,50.553551,Healthy Calorie,26.13664891204983,50.55713384162102,Restaurant
